만나이,지역거주기간,향후거주의향,정주의식,거주지소속감,지역생활만족도,주거만족도,월평균가구소득,부채유무,삶의만족도,대중교통만족도,공공편의시설만족도,의료시설만족도,year
81,7.0,3.0,3,3,2,1,3.0,2.0,3,3.0,2.0,2.0,2017
68,4.0,2.0,4,2,3,3,2.0,1.0,3,2.0,1.0,1.0,2017
72,5.0,1.0,3,3,1,1,3.0,2.0,2,2.25,2.0,2.0,2017
71,30.0,1.0,3,2,2,2,2.0,2.0,2,2.5,2.0,1.0,2017
67,36.0,3.0,3,3,3,3,7.0,2.0,2,2.75,3.0,1.0,2017
65,4.0,4.0,3,4,1,1,3.0,1.0,5,3.0,1.0,2.0,2017
72,4.0,2.0,4,2,4,3,5.0,2.0,4,4.25,2.5,3.0,2017
75,1.0,5.0,3,3,2,3,3.0,2.0,4,2.75,2.0,2.5,2017
75,4.0,1.0,3,3,1,1,2.0,1.0,3,2.75,2.0,3.0,2017
84,17.0,1.0,3,4,3,1,2.0,2.0,1,2.25,2.0,3.0,2017
78,6.0,1.0,3,3,2,2,1.0,1.0,3,2.75,3.0,3.0,2017
81,6.0,2.0,3,3,2,2,3.0,2.0,3,3.0,2.0,2.0,2017
82,3.0,3.0,3,4,2,1,1.0,2.0,3,2.75,2.0,2.5,2017
70,30.0,1.0,3,3,3,3,1.0,1.0,3,3.0,1.0,1.5,2017
65,10.0,3.0,3,2,3,3,2.0,2.0,3,3.0,2.0,2.0,2017
74,1.0,3.0,4,2,4,3,1.0,2.0,4,2.75,2.5,2.0,2017
70,1.0,1.0,4,2,2,3,1.0,1.0,3,2.0,2.0,2.0,2017
78,3.0,2.0,4,2,4,4,1.0,2.0,3,2.75,1.0,2.0,2017
77,10.0,3.0,3,3,3,3,1.0,2.0,3,3.25,2.0,2.0,2017
70,1.0,2.0,4,1,3,3,1.0,2.0,4,2.25,2.0,2.0,2017
67,30.0,1.0,3,3,2,1,3.0,2.0,2,2.5,2.0,1.0,2017
65,10.0,1.0,3,3,1,1,4.0,2.0,3,2.25,2.0,1.5,2017
76,20.0,2.0,3,3,4,4,2.0,2.0,5,3.0,2.0,2.0,2017
79,35.0,1.0,3,3,2,2,2.0,2.0,2,2.25,3.0,3.0,2017
68,37.0,1.0,3,3,2,2,6.0,2.0,2,2.75,2.5,4.0,2017
85,16.0,1.0,3,3,3,3,5.0,2.0,3,3.0,2.0,2.0,2017
82,15.0,2.0,3,4,1,1,1.0,2.0,2,2.5,2.0,2.0,2017
77,15.0,1.0,3,3,2,2,5.0,2.0,2,2.0,1.0,1.0,2017
74,30.0,1.0,3,4,2,2,4.0,2.0,3,3.25,2.0,2.0,2017
82,3.0,1.0,1,3,2,3,3.0,2.0,3,2.75,2.0,3.0,2017
67,4.0,3.0,3,2,3,3,1.0,1.0,3,2.75,2.0,2.0,2017
78,20.0,1.0,3,3,3,3,1.0,2.0,5,3.5,2.0,4.0,2017
70,2.0,4.0,1,3,3,2,1.0,2.0,3,2.75,2.0,2.0,2017
85,5.0,3.0,3,4,1,3,1.0,2.0,2,3.0,2.0,2.0,2017
77,6.0,2.0,3,3,3,3,1.0,2.0,3,3.25,2.0,2.0,2017
79,1.0,1.0,4,2,3,2,2.0,2.0,3,2.75,2.0,3.0,2017
65,5.0,2.0,3,3,1,3,2.0,1.0,2,2.25,3.0,2.5,2017
67,2.0,4.0,4,2,3,3,2.0,1.0,3,3.25,2.5,3.0,2017
76,20.0,1.0,3,3,2,2,1.0,2.0,3,3.0,2.0,3.0,2017
69,6.0,1.0,3,3,3,2,1.0,2.0,3,3.0,2.0,3.5,2017
67,5.0,2.0,3,3,3,2,1.0,2.0,3,3.5,1.0,3.0,2017
68,50.0,1.0,1,4,2,2,2.0,2.0,3,3.0,3.0,3.0,2017
81,10.0,1.0,3,3,2,2,1.0,2.0,3,3.0,2.0,3.0,2017
68,28.0,1.0,3,4,2,2,4.0,2.0,2,2.75,1.0,2.0,2017
75,34.0,1.0,3,4,1,1,5.0,2.0,2,1.5,1.0,2.0,2017
68,5.0,4.0,4,2,2,2,3.0,1.0,3,3.0,3.0,3.0,2017
76,50.0,1.0,3,3,1,5,4.0,1.0,4,2.25,1.0,2.0,2017
65,6.0,1.0,3,3,2,2,4.0,1.0,3,2.75,2.0,3.0,2017
78,7.0,4.0,4,2,2,4,2.0,2.0,2,2.75,2.0,2.0,2017
