만나이,지역거주기간,향후거주의향,정주의식,거주지소속감,거주지만족도,월평균가구소득,부채유무,삶의만족도,year
85,20,2,3,3,3.0,1.0,2.0,3,2023
82,47,2,3,3,3.0,1.0,2.0,3,2023
66,12,4,4,2,4.0,4.0,1.0,3,2023
76,50,3,4,3,3.0,2.0,1.0,3,2023
65,10,2,3,3,2.0,6.0,1.0,3,2023
85,21,1,3,2,1.0,3.0,2.0,3,2023
69,23,3,3,3,4.0,8.0,1.0,3,2023
83,29,1,3,3,2.0,2.0,2.0,2,2023
81,29,2,4,2,3.0,3.0,1.0,3,2023
74,29,2,2,3,2.0,7.0,2.0,2,2023
66,12,2,3,3,2.0,8.0,1.0,3,2023
80,23,2,3,4,2.0,8.0,2.0,2,2023
66,30,1,3,4,1.0,8.0,2.0,1,2023
71,30,1,3,4,2.0,5.0,1.0,3,2023
69,33,1,3,2,2.0,8.0,2.0,2,2023
77,20,1,3,4,1.0,4.0,2.0,3,2023
67,5,2,3,3,2.0,5.0,1.0,3,2023
69,20,2,3,3,2.0,8.0,2.0,2,2023
67,23,2,3,3,3.0,4.0,1.0,3,2023
73,17,2,4,2,4.0,2.0,2.0,3,2023
83,23,1,3,4,2.0,2.0,2.0,3,2023
69,14,2,4,3,4.0,1.0,1.0,5,2023
66,17,2,3,3,4.0,5.0,1.0,3,2023
66,8,2,3,3,3.0,5.0,1.0,3,2023
68,14,1,3,3,3.0,1.0,1.0,5,2023
77,26,2,3,3,3.0,2.0,2.0,3,2023
72,28,1,3,4,2.0,7.0,2.0,3,2023
75,30,4,4,3,3.0,3.0,2.0,1,2023
66,24,2,3,4,2.0,6.0,2.0,2,2023
65,26,2,3,3,2.0,4.0,2.0,2,2023
79,30,2,3,4,3.0,3.0,2.0,1,2023
72,25,1,3,4,2.0,3.0,2.0,2,2023
73,23,2,3,4,1.0,3.0,2.0,2,2023
78,30,1,3,4,1.0,7.0,2.0,2,2023
68,40,2,4,3,2.0,4.0,2.0,2,2023
72,3,2,3,3,4.0,4.0,2.0,3,2023
77,3,2,3,3,3.0,1.0,1.0,3,2023
65,13,2,4,3,3.0,6.0,2.0,3,2023
65,20,2,3,3,3.0,8.0,2.0,3,2023
84,33,2,3,4,1.0,8.0,2.0,3,2023
81,30,1,3,3,1.0,5.0,2.0,1,2023
80,17,2,3,3,3.0,2.0,2.0,3,2023
69,15,2,3,3,2.0,3.0,2.0,3,2023
65,10,2,3,3,2.0,5.0,2.0,2,2023
65,3,1,3,4,1.0,6.0,2.0,1,2023
72,40,1,3,4,3.0,8.0,2.0,4,2023
75,20,1,4,3,2.0,1.0,2.0,3,2023
85,10,1,3,4,1.0,1.0,2.0,1,2023
85,20,1,3,4,2.0,1.0,2.0,3,2023
85,50,1,4,2,1.0,1.0,2.0,4,2023
65,20,1,3,4,1.0,1.0,2.0,1,2023
72,14,1,3,4,5.0,1.0,2.0,2,2023
76,40,1,4,4,1.0,1.0,2.0,4,2023
78,37,1,3,4,3.0,1.0,2.0,4,2023
65,28,1,3,4,1.0,1.0,2.0,3,2023
77,6,1,3,3,2.0,1.0,2.0,3,2023
73,10,1,3,4,2.0,1.0,2.0,3,2023
