만나이,지역거주기간,향후거주의향,정주의식,거주지소속감,거주지만족도,월평균가구소득,부채유무,삶의만족도,year
85,20.0,2.0,3,3,2.5,1.0,1.0,5,2017
78,22.0,2.0,3,3,2.0,2.0,2.0,3,2017
66,2.0,4.0,4,2,3.0,1.0,1.0,4,2017
75,21.0,1.0,3,3,1.5,2.0,2.0,2,2017
83,23.0,1.0,3,3,2.5,2.0,2.0,2,2017
73,22.0,2.0,3,4,1.0,2.0,2.0,3,2017
77,25.0,2.0,3,3,2.0,1.0,2.0,4,2017
83,15.0,1.0,3,4,1.0,3.0,2.0,1,2017
75,22.0,1.0,3,4,1.0,4.0,2.0,1,2017
87,24.0,1.0,3,2,2.5,2.0,1.0,3,2017
70,3.0,1.0,3,4,1.0,8.0,2.0,1,2017
87,1.0,2.0,3,3,3.0,3.0,2.0,3,2017
65,8.0,2.0,3,2,1.0,2.0,2.0,3,2017
69,10.0,4.0,3,3,3.5,2.0,1.0,5,2017
65,22.0,5.0,3,2,2.5,3.0,2.0,3,2017
74,17.0,2.0,3,3,2.5,5.0,2.0,4,2017
81,5.0,3.0,4,3,3.0,2.0,2.0,5,2017
65,18.0,1.0,3,2,1.5,2.0,1.0,4,2017
67,21.0,2.0,3,3,1.0,6.0,2.0,2,2017
69,20.0,1.0,4,3,2.5,5.0,1.0,2,2017
74,24.0,1.0,3,4,1.0,4.0,2.0,2,2017
78,2.0,2.0,3,4,1.0,3.0,2.0,3,2017
68,24.0,2.0,3,3,2.0,5.0,1.0,3,2017
69,10.0,2.0,3,3,2.5,3.0,2.0,3,2017
74,24.0,2.0,3,4,1.0,6.0,2.0,2,2017
65,19.0,1.0,3,4,1.5,8.0,1.0,2,2017
75,10.0,2.0,3,3,2.5,8.0,2.0,2,2017
72,22.0,3.0,3,3,3.0,3.0,2.0,4,2017
65,8.0,4.0,4,2,2.5,2.0,1.0,3,2017
94,5.0,4.0,4,2,2.5,5.0,2.0,3,2017
67,25.0,1.0,3,4,2.0,5.0,1.0,4,2017
80,25.0,1.0,3,4,3.0,5.0,1.0,3,2017
65,5.0,2.0,3,3,2.5,6.0,2.0,3,2017
65,23.0,1.0,4,3,2.5,6.0,2.0,3,2017
65,17.0,2.0,3,4,2.5,3.0,1.0,3,2017
92,8.0,2.0,4,2,3.0,2.0,1.0,4,2017
79,30.0,1.0,3,3,2.5,4.0,2.0,4,2017
65,26.0,2.0,3,3,2.0,2.0,2.0,4,2017
72,4.0,2.0,3,3,2.0,8.0,1.0,2,2017
81,25.0,3.0,3,3,2.0,1.0,2.0,4,2017
79,25.0,1.0,3,2,2.0,1.0,1.0,4,2017
80,4.0,1.0,3,3,1.0,1.0,2.0,1,2017
66,23.0,2.0,3,3,1.5,2.0,2.0,3,2017
77,3.0,1.0,3,4,1.0,3.0,2.0,2,2017
78,20.0,1.0,3,2,2.5,2.0,1.0,4,2017
74,18.0,1.0,3,3,2.0,2.0,2.0,3,2017
78,12.0,2.0,3,4,3.5,2.0,2.0,4,2017
88,13.0,3.0,3,3,2.0,1.0,2.0,4,2017
68,40.0,1.0,4,3,1.5,2.0,2.0,2,2017
87,18.0,2.0,3,3,2.0,1.0,2.0,4,2017
66,23.0,2.0,4,2,3.0,2.0,2.0,3,2017
80,15.0,1.0,3,4,1.0,4.0,2.0,1,2017
70,7.0,2.0,3,3,3.0,1.0,2.0,2,2017
85,3.0,1.0,4,3,1.5,1.0,2.0,4,2017
85,10.0,1.0,3,3,1.5,2.0,2.0,2,2017
69,6.0,2.0,3,3,2.5,2.0,1.0,3,2017
86,23.0,1.0,3,3,1.0,1.0,2.0,3,2017
65,23.0,1.0,3,4,1.0,3.0,2.0,2,2017
90,17.0,2.0,3,2,2.0,2.0,2.0,4,2017
71,20.0,2.0,3,4,1.0,4.0,2.0,2,2017
82,5.0,2.0,3,2,2.5,4.0,2.0,3,2017
70,23.0,2.0,3,3,3.0,3.0,2.0,3,2017
74,20.0,2.0,3,4,3.0,3.0,2.0,3,2017
71,23.0,1.0,3,3,2.0,5.0,2.0,2,2017
80,8.0,2.0,3,3,1.5,1.0,1.0,2,2017
77,47.0,1.0,3,3,2.0,1.0,2.0,2,2017
78,15.0,2.0,3,3,3.0,1.0,2.0,3,2017
84,10.0,1.0,3,3,3.0,1.0,2.0,3,2017
68,50.0,2.0,3,3,2.5,2.0,1.0,3,2017
66,40.0,2.0,1,3,3.5,2.0,2.0,4,2017
85,41.0,4.0,3,3,2.0,1.0,2.0,3,2017
68,34.0,1.0,3,3,3.0,1.0,2.0,5,2017
70,40.0,2.0,3,3,2.5,1.0,1.0,5,2017
74,39.0,4.0,3,3,3.5,2.0,2.0,1,2017
81,70.0,1.0,1,4,2.5,1.0,2.0,4,2017
74,40.0,1.0,3,3,2.0,1.0,2.0,2,2017
71,40.0,1.0,3,3,4.0,2.0,2.0,4,2017
73,18.0,2.0,3,3,3.0,2.0,1.0,3,2017
76,40.0,2.0,3,4,3.5,3.0,2.0,3,2017
76,15.0,4.0,3,2,2.0,1.0,2.0,2,2017
76,36.0,1.0,3,3,2.0,1.0,2.0,3,2017
77,16.0,1.0,3,2,2.0,3.0,2.0,2,2017
70,6.0,2.0,4,2,3.5,2.0,2.0,3,2017
66,20.0,2.0,3,4,2.0,1.0,1.0,3,2017
80,2.0,1.0,3,3,2.0,1.0,2.0,3,2017
67,15.0,2.0,3,3,3.5,2.0,1.0,3,2017
66,40.0,1.0,3,4,2.0,3.0,2.0,4,2017
69,15.0,2.0,4,3,3.0,2.0,2.0,2,2017
75,15.0,1.0,1,4,1.0,1.0,2.0,3,2017
66,40.0,2.0,3,3,3.0,3.0,1.0,2,2017
71,47.0,1.0,3,3,2.0,1.0,1.0,3,2017
77,15.0,1.0,3,2,2.0,5.0,2.0,2,2017
68,14.0,2.0,3,3,3.0,1.0,1.0,3,2017
71,21.0,2.0,3,2,1.0,8.0,2.0,2,2017
71,2.0,3.0,4,2,2.0,8.0,2.0,2,2017
78,20.0,3.0,3,2,3.0,4.0,2.0,3,2017
72,17.0,1.0,3,4,1.5,8.0,1.0,3,2017
78,15.0,4.0,3,1,4.0,6.0,2.0,1,2017
76,3.0,2.0,3,2,2.0,2.0,2.0,2,2017
76,15.0,1.0,3,3,1.5,4.0,2.0,2,2017
78,15.0,1.0,3,3,2.5,8.0,2.0,2,2017
75,17.0,2.0,3,2,3.0,5.0,2.0,3,2017
75,15.0,1.0,4,1,3.0,4.0,2.0,1,2017
74,15.0,1.0,3,2,3.5,8.0,1.0,2,2017
78,17.0,3.0,3,3,3.0,1.0,2.0,3,2017
78,15.0,2.0,3,3,1.0,6.0,1.0,3,2017
73,15.0,1.0,3,4,1.0,3.0,1.0,2,2017
73,9.0,4.0,4,3,2.5,2.0,1.0,2,2017
73,17.0,1.0,3,3,1.5,2.0,2.0,1,2017
83,1.0,2.0,4,2,3.0,1.0,2.0,5,2017
68,20.0,2.0,3,3,3.0,3.0,1.0,3,2017
67,25.0,4.0,3,3,3.0,1.0,1.0,2,2017
88,20.0,2.0,3,3,2.0,6.0,2.0,2,2017
85,40.0,1.0,3,3,2.5,1.0,2.0,3,2017
